ID,Category,Value
1,A,60868
2,B,sort
3,D,Yes
4,B,message
5,D,No
6,B,while
7,B,fire
8,B,opportunity
9,E,34.0
10,D,Yes
11,A,60837
12,D,Yes
13,A,60729
14,B,within
15,A,37807
16,D,Yes
17,C,1908-04-27
18,E,28.0
19,C,2017-10-24
20,E,75.0
21,B,history
22,E,70.8
23,D,Yes
24,D,Yes
25,D,Yes
26,E,45.5
27,A,30759
28,E,41.0
29,E,92.1
30,C,2019-01-15
31,B,service
32,E,26.4
33,B,window
34,D,No
35,B,suddenly
36,C,2014-07-10
37,A,50328
38,C,1910-05-19
39,D,No
40,B,for
41,C,1931-01-12
42,B,computer
43,A,19777
44,D,Yes
45,D,Yes
46,B,authority
47,B,six
48,B,room
49,A,3818
50,A,75901
51,B,blue
52,B,herself
53,D,No
54,A,62567
55,B,good
56,B,bar
57,C,2000-06-22
58,D,No
59,B,tax
60,A,59717
61,B,total
62,B,deep
63,B,stand
64,A,45515
65,C,1994-01-15
66,B,interesting
67,E,51.8
68,B,whole
69,E,33.0
70,A,93898
71,D,Yes
72,C,2014-05-17
73,B,couple
74,C,1961-04-02
75,D,No
76,B,air
77,D,No
78,A,46443
79,A,79463
80,A,43039
81,A,27484
82,D,Yes
83,A,97340
84,C,1944-03-23
85,E,85.5
86,E,38.3
87,D,Yes
88,C,1989-06-07
89,D,No
90,E,64.5
91,A,67314
92,E,74.7
93,B,land
94,A,36492
95,B,person
96,C,1923-04-07
97,E,69.5
98,A,58663
99,D,Yes
100,A,58421
101,E,90.8
102,B,right
103,A,67167
104,E,95.0
105,E,50.1
106,C,1972-09-09
107,E,89.5
108,C,1988-06-01
109,D,No
110,B,difference
111,C,1967-03-04
112,E,25.2
113,D,Yes
114,E,62.6
115,D,Yes
116,E,63.9
117,C,2018-03-27
118,E,92.9
119,D,Yes
120,A,80171
121,E,8.1
122,E,29.1
123,D,Yes
124,D,No
125,A,73809
126,D,Yes
127,B,work
128,E,50.6
129,A,52422
130,E,93.0
131,B,level
132,E,53.8
133,A,3120
134,B,somebody
135,A,73225
136,C,1929-10-17
137,B,fight
138,E,2.1
139,C,1929-08-08
140,A,52263
141,B,usually
142,D,No
143,D,Yes
144,A,41440
145,B,bank
146,C,2007-09-11
147,D,No
148,D,No
149,E,6.2
150,A,8596
151,A,27770
152,D,No
153,A,73833
154,C,1954-01-05
155,A,46192
156,C,1997-05-20
157,E,2.0
158,D,No
159,B,network
160,E,39.5
161,B,officer
162,B,feel
163,A,6754
164,E,9.8
165,B,very
166,E,43.0
167,C,1991-10-15
168,C,2016-03-19
169,E,91.9
170,B,if
171,D,Yes
172,A,21423
173,E,84.6
174,D,Yes
175,E,32.4
176,D,No
177,A,82220
178,B,ahead
179,E,19.9
180,A,4258
181,A,78333
182,C,2001-12-03
183,C,1968-06-18
184,B,guess
185,A,65577
186,C,2002-05-02
187,D,No
188,A,95194
189,C,1910-12-02
190,E,51.7
191,B,foot
192,A,69150
193,E,63.7
194,A,85716
195,B,network
196,D,Yes
197,B,feeling
198,C,1965-08-08
199,E,11.1
200,C,1999-10-20
201,C,1934-01-22
202,D,Yes
203,A,3346
204,C,1977-04-08
205,C,1983-09-17
206,D,No
207,A,73482
208,B,others
209,A,23832
210,B,goal
211,D,Yes
212,E,66.0
213,C,1927-11-11
214,C,1979-06-10
215,C,1930-06-13
216,E,65.7
217,C,2008-04-30
218,E,81.6
219,E,86.4
220,E,7.4
221,B,memory
222,E,78.7
223,C,1957-12-29
224,B,quickly
225,A,16047
226,B,author
227,B,you
228,C,1980-01-14
229,C,1927-07-02
230,D,No
231,A,75336
232,C,1927-08-18
233,B,loss
234,C,1982-05-21
235,C,1917-04-24
236,D,No
237,E,30.9
238,C,1908-08-23
239,A,3902
240,B,lose
241,C,2008-02-23
242,E,70.0
243,A,11071
244,C,1996-05-05
245,B,information
246,B,read
247,E,36.5
248,E,73.0
249,E,35.1
250,A,16680
251,A,52069
252,D,Yes
253,C,1986-12-08
254,D,No
255,E,85.7
256,C,1959-01-31
257,C,1997-11-06
258,A,44266
259,A,56367
260,E,40.2
261,E,34.4
262,B,push
263,D,Yes
264,A,80664
265,B,hundred
266,E,23.8
267,D,No
268,C,1985-02-16
269,E,19.2
270,A,67857
271,B,every
272,D,Yes
273,D,No
274,C,1939-05-19
275,A,41977
276,D,Yes
277,A,87078
278,C,1913-01-18
279,C,1999-04-13
280,E,30.4
281,D,No
282,B,explain
283,B,week
284,C,1949-10-19
285,C,1967-07-25
286,B,available
287,E,23.1
288,B,interesting
289,A,60647
290,B,share
291,E,22.8
292,A,17757
293,A,63292
294,C,1981-05-06
295,E,87.1
296,C,2006-08-13
297,D,Yes
298,E,11.0
299,E,20.6
300,E,62.1
301,B,executive
302,D,Yes
303,E,24.2
304,A,32256
305,B,these
306,B,somebody
307,D,Yes
308,C,1971-05-09
309,D,Yes
310,E,33.1
311,E,3.1
312,A,12945
313,B,serious
314,E,53.7
315,E,67.9
316,E,24.6
317,B,alone
318,B,anyone
319,E,73.5
320,D,No
321,A,22450
322,B,partner
323,E,55.8
324,A,76281
325,E,91.5
326,B,happy
327,E,26.7
328,A,55970
329,A,33328
330,A,23364
331,C,1955-04-10
332,C,1974-05-06
333,B,develop
334,D,No
335,E,46.2
336,D,Yes
337,C,1926-01-10
338,E,55.2
339,C,1997-02-23
340,B,money
341,D,No
342,A,80733
343,A,12324
344,C,1994-01-28
345,B,others
346,A,30199
347,D,No
348,D,No
349,C,1987-09-10
350,C,1924-04-04
351,D,Yes
352,D,Yes
353,D,Yes
354,B,feeling
355,D,No
356,B,drive
357,C,2020-01-02
358,B,grow
359,A,69901
360,C,1918-10-23
361,B,they
362,B,firm
363,C,1975-09-12
364,B,between
365,C,1966-05-27
366,E,39.6
367,E,6.3
368,E,73.7
369,C,1978-05-19
370,B,control
371,B,although
372,D,Yes
373,D,No
374,E,38.8
375,B,life
376,C,1915-01-12
377,E,95.0
378,B,option
379,A,30387
